No,Kategori,Bogor-Selatan,Bogor-Timur,Bogor-Tengah,Bogor-Barat,Bogor-Utara,Tanah-Sareal
1,Makanan,174,46,173,226,146,231
2,Pangan,5,6,10,20,7,16
3,Gas,5,0,1,2,0,2
4,Kendaraan,1,0,0,2,2,1
5,Kerajinan,87,15,16,58,40,60
6,Fashion,31,19,30,39,33,31
7,Kantin Sekolah,0,0,1,0,2,0
8,Kuliner,58,32,40,72,68,67
9,Otomotif,3,4,1,3,1,1
10,Pendidikan,2,0,2,0,1,2
11,PKL,0,0,1,1,2,0
12,Teknologi Internet,9,2,6,6,6,7
13,Rumah Warung Makan,32,6,20,28,10,22
14,Agrobisnis,0,3,1,5,7,2
15,Minuman,11,3,3,17,15,14
16,Jasa,22,5,3,23,24,25
17,Kesehatan,2,1,5,7,3,2
18,Warung Sembako,1,0,0,2,2,2
19,Lainnya,1648,888,1903,1142,1357,351
